lib/libnetmap/Makefile.depend|libnetmap|lib/libnetmap|libnetmap|Library missing description
lib/libnv/Makefile.depend|libnv|lib/libnv|libnv|Library missing description
lib/libnvmf/Makefile.depend|libnvmf|lib/libnvmf|libnvmf|Library missing description
lib/libopenbsd/Makefile.depend|libopenbsd|lib/libopenbsd|libopenbsd|Library missing description
lib/libpam/libpam/Makefile.depend|libpam|lib/libpam/libpam|libpam|Library missing description
lib/libpam/modules/pam_chroot/pam_chroot.8|pam_chroot|lib/libpam/modules/pam_chroot|pam_chroot|Chroot PAM module
lib/libpam/modules/pam_deny/pam_deny.8|pam_deny|lib/libpam/modules/pam_deny|pam_deny|Deny PAM module
lib/libpam/modules/pam_echo/pam_echo.8|pam_echo|lib/libpam/modules/pam_echo|pam_echo|Echo PAM module
lib/libpam/modules/pam_exec/pam_exec.8|pam_exec|lib/libpam/modules/pam_exec|pam_exec|Exec PAM module
lib/libpam/modules/pam_ftpusers/pam_ftpusers.8|pam_ftpusers|lib/libpam/modules/pam_ftpusers|pam_ftpusers|ftpusers PAM module
lib/libpam/modules/pam_group/pam_group.8|pam_group|lib/libpam/modules/pam_group|pam_group|Group PAM module
lib/libpam/modules/pam_guest/pam_guest.8|pam_guest|lib/libpam/modules/pam_guest|pam_guest|Guest PAM module
lib/libpam/modules/pam_krb5/pam_krb5.8|pam_krb5|lib/libpam/modules/pam_krb5|pam_krb5|Kerberos 5 PAM module
lib/libpam/modules/pam_krb5/pam-krb5.8|pam-krb5|lib/libpam/modules/pam_krb5|pam_krb5|Kerberos PAM module
lib/libpam/modules/pam_ksu/pam_ksu.8|pam_ksu|lib/libpam/modules/pam_ksu|pam_ksu|Kerberos 5 SU PAM module
lib/libpam/modules/pam_lastlog/pam_lastlog.8|pam_lastlog|lib/libpam/modules/pam_lastlog|pam_lastlog|login accounting PAM module
lib/libpam/modules/pam_login_access/pam_login_access.8|pam_login_access|lib/libpam/modules/pam_login_access|pam_login_access|login.access PAM module
lib/libpam/modules/pam_nologin/pam_nologin.8|pam_nologin|lib/libpam/modules/pam_nologin|pam_nologin|NoLogin PAM module
lib/libpam/modules/pam_passwdqc/pam_passwdqc.8|pam_passwdqc|lib/libpam/modules/pam_passwdqc|pam_passwdqc|Password quality-control PAM module
lib/libpam/modules/pam_permit/pam_permit.8|pam_permit|lib/libpam/modules/pam_permit|pam_permit|Promiscuous PAM module
lib/libpam/modules/pam_radius/pam_radius.8|pam_radius|lib/libpam/modules/pam_radius|pam_radius|RADIUS authentication PAM module
lib/libpam/modules/pam_rhosts/pam_rhosts.8|pam_rhosts|lib/libpam/modules/pam_rhosts|pam_rhosts|Rhosts PAM module
lib/libpam/modules/pam_rootok/pam_rootok.8|pam_rootok|lib/libpam/modules/pam_rootok|pam_rootok|RootOK PAM module
lib/libpam/modules/pam_securetty/pam_securetty.8|pam_securetty|lib/libpam/modules/pam_securetty|pam_securetty|SecureTTY PAM module
lib/libpam/modules/pam_self/pam_self.8|pam_self|lib/libpam/modules/pam_self|pam_self|Self PAM module
lib/libpam/modules/pam_ssh/pam_ssh.8|pam_ssh|lib/libpam/modules/pam_ssh|pam_ssh|authentication and session management with SSH private keys
lib/libpam/modules/pam_tacplus/pam_tacplus.8|pam_tacplus|lib/libpam/modules/pam_tacplus|pam_tacplus|TACACS+ authentication PAM module
lib/libpam/modules/pam_unix/pam_unix.8|pam_unix|lib/libpam/modules/pam_unix|pam_unix|UNIX PAM module
lib/libpam/modules/pam_xdg/pam_xdg.8|pam_xdg|lib/libpam/modules/pam_xdg|pam_xdg|XDG PAM module
lib/libpam/static_libpam/Makefile.depend|static_libpam|lib/libpam/static_libpam|static_libpam|Library missing description
lib/libpathconv/Makefile.depend|libpathconv|lib/libpathconv|libpathconv|Library missing description
lib/libpfctl/Makefile.depend|libpfctl|lib/libpfctl|libpfctl|Library missing description
lib/libpjdlog/Makefile.depend|libpjdlog|lib/libpjdlog|libpjdlog|Library missing description
lib/libpmc/Makefile.depend|libpmc|lib/libpmc|libpmc|Library missing description
lib/libpmc/pmu-events/Makefile.depend|pmu-events|lib/libpmc/pmu-events|pmu-events|Library missing description
lib/libpmcstat/Makefile.depend|libpmcstat|lib/libpmcstat|libpmcstat|Library missing description
lib/libproc/Makefile.depend|libproc|lib/libproc|libproc|Library missing description
lib/libprocstat/Makefile.depend|libprocstat|lib/libprocstat|libprocstat|Library missing description
lib/libradius/Makefile.depend|libradius|lib/libradius|libradius|Library missing description
lib/libregex/Makefile.depend|libregex|lib/libregex|libregex|Library missing description
lib/librpcsvc/Makefile.depend|librpcsvc|lib/librpcsvc|librpcsvc|Library missing description
lib/librss/Makefile.depend|librss|lib/librss|librss|Library missing description
lib/librtld_db/Makefile.depend|librtld_db|lib/librtld_db|librtld_db|Library missing description
lib/libsbuf/Makefile.depend|libsbuf|lib/libsbuf|libsbuf|Library missing description
lib/libsdp/Makefile.depend|libsdp|lib/libsdp|libsdp|Library missing description
lib/libsqlite3/Makefile.depend|libsqlite3|lib/libsqlite3|libsqlite3|Library missing description
lib/libstdthreads/Makefile.depend|libstdthreads|lib/libstdthreads|libstdthreads|Library missing description
lib/libsysdecode/Makefile.depend|libsysdecode|lib/libsysdecode|libsysdecode|Library missing description
lib/libsys/Makefile.depend|libsys|lib/libsys|libsys|Library missing description
lib/libtacplus/Makefile.depend|libtacplus|lib/libtacplus|libtacplus|Library missing description
lib/libthread_db/Makefile.depend|libthread_db|lib/libthread_db|libthread_db|Library missing description
lib/libthr/Makefile.depend|libthr|lib/libthr|libthr|Library missing description
lib/libufs/Makefile.depend|libufs|lib/libufs|libufs|Library missing description
lib/libugidfw/Makefile.depend|libugidfw|lib/libugidfw|libugidfw|Library missing description
