sbin/clri/clri.c|BSD-3-Clause
sbin/kldconfig/kldconfig.c|BSD-2-Clause
sbin/dmesg/dmesg.c|BSD-3-Clause
sbin/bsdlabel/pathnames.h|BSD-3-Clause
sbin/bsdlabel/bsdlabel.c|BSD-4-Clause
sbin/setkey/setkey.c|BSD-3-Clause
sbin/setkey/test-policy.c|BSD-3-Clause
sbin/setkey/test-pfkey.c|BSD-3-Clause
sbin/setkey/vchar.h|BSD-3-Clause
sbin/fsck_msdosfs/dir.c|BSD-2-Clause
sbin/fsck_msdosfs/main.c|BSD-2-Clause
sbin/fsck_msdosfs/dosfs.h|BSD-2-Clause
sbin/fsck_msdosfs/fat.c|BSD-2-Clause
sbin/fsck_msdosfs/boot.c|BSD-2-Clause
sbin/fsck_msdosfs/ext.h|BSD-2-Clause
sbin/fsck_msdosfs/check.c|BSD-2-Clause
sbin/hastd/proto_socketpair.c|BSD-2-Clause
sbin/hastd/proto_tcp.c|BSD-2-Clause
sbin/hastd/proto_uds.c|BSD-2-Clause
sbin/hastd/hast_checksum.c|BSD-2-Clause
sbin/hastd/proto_common.c|BSD-2-Clause
sbin/hastd/hooks.c|BSD-2-Clause
sbin/hastd/refcnt.h|BSD-2-Clause
sbin/hastd/proto.h|BSD-2-Clause
sbin/hastd/hast_proto.c|BSD-2-Clause
sbin/hastd/nv.h|BSD-2-Clause
sbin/hastd/lzf.c|BSD-2-Clause
sbin/hastd/ebuf.h|BSD-2-Clause
sbin/hastd/metadata.c|BSD-2-Clause
sbin/hastd/hooks.h|BSD-2-Clause
sbin/hastd/hastd.c|BSD-2-Clause
sbin/hastd/rangelock.c|BSD-2-Clause
sbin/hastd/activemap.c|BSD-2-Clause
sbin/hastd/hast_checksum.h|BSD-2-Clause
sbin/hastd/event.h|BSD-2-Clause
sbin/hastd/hast.h|BSD-2-Clause
sbin/hastd/rangelock.h|BSD-2-Clause
sbin/hastd/proto_impl.h|BSD-2-Clause
sbin/hastd/ebuf.c|BSD-2-Clause
sbin/hastd/subr.h|BSD-2-Clause
sbin/hastd/proto.c|BSD-2-Clause
sbin/hastd/hastd.h|BSD-2-Clause
sbin/hastd/control.h|BSD-2-Clause
sbin/hastd/synch.h|BSD-2-Clause
sbin/hastd/pjdlog.c|BSD-2-Clause
sbin/hastd/secondary.c|BSD-2-Clause
sbin/hastd/pjdlog.h|BSD-2-Clause
sbin/hastd/hast_compression.c|BSD-2-Clause
sbin/hastd/primary.c|BSD-2-Clause
sbin/hastd/lzf.h|BSD-2-Clause
sbin/hastd/activemap.h|BSD-2-Clause
sbin/hastd/subr.c|BSD-2-Clause
sbin/hastd/control.c|BSD-2-Clause
sbin/hastd/hast_compression.h|BSD-2-Clause
sbin/hastd/event.c|BSD-2-Clause
sbin/hastd/hast_proto.h|BSD-2-Clause
sbin/hastd/metadata.h|BSD-2-Clause
sbin/hastd/nv.c|BSD-2-Clause
sbin/ping/utils.c|BSD-3-Clause
sbin/ping/main.c|BSD-2-Clause
sbin/ping/ping6.h|BSD-2-Clause
sbin/ping/ping.h|BSD-2-Clause
sbin/ping/utils.h|BSD-2-Clause
sbin/ping/ping6.c|BSD-3-Clause
